BlockSize(K),Bytes,Time(s),TransferRate(MB/s),TimeStamp
4096,4194304,0.00564777,743,2017-11-01 14:12:32
4096,4194304,0.00503056,834,2017-11-01 14:12:39
4096,4194304,0.00465015,902,2017-11-01 14:12:46
4096,4194304,0.00583267,719,2017-11-01 14:12:53
4096,4194304,0.00587165,714,2017-11-01 14:13:00
4096,4194304,0.00438238,957,2017-11-01 14:13:06
4096,4194304,0.00558217,751,2017-11-01 14:13:13
4096,4194304,0.00538984,778,2017-11-01 14:13:20
4096,4194304,0.00444353,944,2017-11-01 14:12:26
512,524288,0.00119371,439,2017-11-01 14:13:27
512,524288,0.00111186,472,2017-11-01 14:12:32
512,524288,0.00128337,409,2017-11-01 14:12:39
512,524288,0.00106676,491,2017-11-01 14:12:46
512,524288,0.000864443,607,2017-11-01 14:12:53
512,524288,0.00115441,454,2017-11-01 14:13:00
512,524288,0.00109395,479,2017-11-01 14:13:06
512,524288,0.00112546,466,2017-11-01 14:13:13
512,524288,0.00120233,436,2017-11-01 14:13:20
512,524288,0.00109414,479,2017-11-01 14:12:26
524288,536870912,0.453694,1228.8,2017-11-01 14:13:28
524288,536870912,0.416264,1331.2,2017-11-01 14:12:33
524288,536870912,0.447508,1228.8,2017-11-01 14:12:40
524288,536870912,0.444185,1228.8,2017-11-01 14:12:46
524288,536870912,0.429591,1228.8,2017-11-01 14:12:53
524288,536870912,0.41713,1331.2,2017-11-01 14:13:00
524288,536870912,0.434095,1228.8,2017-11-01 14:13:07
524288,536870912,0.433049,1228.8,2017-11-01 14:13:14
524288,536870912,0.448856,1228.8,2017-11-01 14:13:21
524288,536870912,0.4328,1228.8,2017-11-01 14:12:26
64,65536,0.000491041,133,2017-11-01 14:13:27
64,65536,0.000439171,149,2017-11-01 14:12:32
64,65536,0.000533253,123,2017-11-01 14:12:39
64,65536,0.000472577,139,2017-11-01 14:12:46
64,65536,0.000467495,140,2017-11-01 14:12:53
64,65536,0.000541656,121,2017-11-01 14:13:00
64,65536,0.000521879,126,2017-11-01 14:13:06
64,65536,0.000584119,112,2017-11-01 14:13:13
64,65536,0.000538823,122,2017-11-01 14:13:20
64,65536,0.000547897,120,2017-11-01 14:12:26
65536,67108864,0.06133,1126.4,2017-11-01 14:13:27
65536,67108864,0.0606378,1126.4,2017-11-01 14:12:32
65536,67108864,0.0602761,1126.4,2017-11-01 14:12:39
65536,67108864,0.0573447,1228.8,2017-11-01 14:12:46
65536,67108864,0.0610718,1126.4,2017-11-01 14:12:53
65536,67108864,0.0597377,1126.4,2017-11-01 14:13:00
65536,67108864,0.0616998,1126.4,2017-11-01 14:13:06
65536,67108864,0.0627608,1126.4,2017-11-01 14:13:13
65536,67108864,0.072041,932,2017-11-01 14:13:20
65536,67108864,0.0525172,1331.2,2017-11-01 14:12:26
