Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,1,8000000,25074,7925,0.01,75953.21,100%
read,read,10,80000000,6708.9,2463.3,0.11,851689.01,100%
write,write,1,8000000,26841,10380,0.01,85168.9,100%
read,read,7,56000000,7025.14,2628.43,0.07,553518.3,100%
write,write,2,16000000,25997.5,10974,0.02,158148.09,100%
read,read,2,16000000,7728.5,3073.5,0.02,177539.09,100%
write,write,3,24000000,24888,8708,0.03,266308.63,100%
read,read,3,24000000,7544.33,2853,0.03,259473.49,100%
write,write,3,24000000,23287.33,8612,0.03,259473.49,100%
read,read,2,16000000,10625,4343,0.02,171199.9,100%
write,write,3,24000000,24069.33,7763.33,0.03,256799.85,100%
read,read,3,24000000,7471.33,3129.33,0.04,323711.9,100%
write,write,2,16000000,25862.5,10311.5,0.03,215807.93,100%
read,read,13,104000000,7856.15,2738.92,0.13,1018310,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,8000000,6950,2425,0.01,98987.85,100%
write,write,3,24000000,24622.67,8843,0.04,296963.55,100%
read,read,9,72000000,7080,2711.11,0.1,814866.79,100%
write,write,1,8000000,24637,11122,0.01,90540.75,100%
read,read,7,56000000,6937.43,3033.14,0.07,555693.38,100%
write,write,2,16000000,26106.5,9518,0.02,158769.54,100%
read,read,0,0,N/A,N/A,0,0,N/A
write,write,3,24000000,25574,9642.33,0.04,312813.63,100%
read,read,5,40000000,6734.6,2921.4,0.05,361232.53,100%
write,write,3,24000000,25685.67,8281.33,0.03,216739.52,100%
read,read,6,48000000,6790.67,2690.83,0.06,516356.67,100%
write,write,2,16000000,26107,9853,0.02,172118.89,100%
read,read,3,24000000,7580.33,2859.67,0.03,214071.64,100%
write,write,3,24000000,29790,16218.33,0.03,214071.64,100%
read,read,8,64000000,6799.62,2960.88,0.07,581400.63,100%
write,write,2,16000000,27841,11910,0.02,145350.16,100%
read,read,12,96000000,7798.58,2641.08,0.13,1025816.38,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,7,56000000,7268.29,3428.29,0.08,666143.27,100%
write,write,1,8000000,33188,15219,0.01,95163.32,100%
read,read,6,48000000,8651.67,3937.33,0.06,481555.42,100%
write,write,2,16000000,23883,9285,0.02,160518.47,100%
read,read,6,48000000,6614,2657,0.05,411001.13,100%
write,write,3,24000000,25701.33,8750,0.03,205500.57,100%
read,read,4,32000000,6405.75,2478.25,0.04,344248.89,100%
write,write,2,16000000,33666.5,16823,0.02,172124.45,100%
read,read,7,56000000,7355.14,2627.71,0.09,746905.68,100%
write,write,1,8000000,23489,12079,0.01,106700.81,100%
read,read,5,40000000,6267.4,2197.4,0.06,486872.69,100%
write,write,2,16000000,25410,10504,0.02,194749.08,100%
read,read,5,40000000,7146,2758.4,0.04,348159.11,100%
write,write,3,24000000,26386,11089.67,0.03,208895.47,100%
read,read,7,56000000,8133.71,2918,0.08,676958.04,100%
write,write,1,8000000,25786,8390,0.01,96708.29,100%
read,read,1,8000000,5851,2315,0.01,103123.35,100%
write,write,3,24000000,23908.33,10122.33,0.04,309370.05,100%
read,read,5,40000000,8329.4,3069.8,0.05,419441.09,100%
write,write,2,16000000,26859,16124,0.02,167776.44,100%
read,read,9,72000000,7869.89,3229.44,0.09,704521.66,100%
write,write,1,8000000,31368,13392,0.01,78280.18,100%
read,read,8,64000000,8001.12,2904.12,0.09,711910.03,100%
write,write,1,8000000,25890,10280,0.01,88988.75,100%
read,read,4,32000000,8734.75,3365.25,0.05,372149.28,100%
write,write,2,16000000,25524,9575,0.02,186074.64,100%
read,read,11,88000000,7758.73,2875.45,0.1,795013.1,100%
write,write,1,8000000,25343,8630,0.01,72273.92,100%
read,read,4,32000000,6633.25,2692.5,0.04,302717.84,100%
write,write,3,24000000,26391.67,15185.67,0.03,227038.38,100%
read,read,5,40000000,8335.2,3579.6,0.05,396000.4,100%
write,write,2,16000000,29666,11375.5,0.02,158400.16,100%
read,read,6,48000000,7285.17,2857.67,0.06,480220.9,100%
write,write,2,16000000,28121.5,12181.5,0.02,160073.63,100%
read,read,5,40000000,6697.8,2980.6,0.05,436224.04,100%
write,write,2,16000000,29102.5,10991.5,0.02,174489.62,100%
read,read,5,40000000,8545.2,3707.8,0.05,409043.96,100%
write,write,2,16000000,27531,11213.5,0.02,163617.58,100%
read,read,8,64000000,7444.38,3539.62,0.09,744636.29,100%
write,write,1,8000000,26392,10903,0.01,93079.54,100%
read,read,7,56000000,7622,2806.29,0.07,542546.29,100%
write,write,2,16000000,24931,7216,0.02,155013.22,100%
read,read,3,24000000,8616,3284.67,0.03,235536.58,100%
write,write,3,24000000,25348.67,8295.67,0.03,235536.58,100%
read,read,3,24000000,11073.67,4904.67,0.03,211139.36,100%
write,write,3,24000000,26815.67,10686,0.03,211139.36,100%
read,read,7,56000000,7811.14,3375.57,0.07,523873.67,100%
write,write,2,16000000,26109,9252,0.02,149678.19,100%
read,read,8,64000000,7111.25,2568.38,0.08,627641.73,100%
write,write,2,16000000,22539.5,9808,0.02,156910.43,100%
read,read,12,96000000,7067.75,2949.17,0.11,848656.29,100%
write,write,1,8000000,28307,9581,0.01,70721.36,100%
read,read,8,64000000,6745.88,2626.88,0.1,811832.46,100%
write,write,1,8000000,24867,9550,0.01,101479.06,100%
read,read,4,32000000,7960.25,3776.5,0.05,373578.65,100%
write,write,2,16000000,26908.5,10235,0.02,186789.32,100%
read,read,7,56000000,7102,3341.29,0.09,734166.26,100%
write,write,1,8000000,26563,10124,0.01,104880.89,100%
read,read,11,88000000,7462.64,2750.73,0.1,825647.62,100%
write,write,1,8000000,24494,10052,0.01,75058.87,100%
read,read,8,64000000,7731.5,2696.38,0.09,733785.07,100%
write,write,1,8000000,25367,9390,0.01,91723.13,100%
read,read,12,96000000,7628.33,2731.67,0.1,828879.54,100%
write,write,1,8000000,24277,6552,0.01,69073.3,100%
read,read,8,64000000,7493.25,2845.38,0.09,735962.1,100%
write,write,1,8000000,27007,8595,0.01,91995.26,100%
