Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w37-s4-main-4workers-2,write,2749,351872000,4,34.69,30.36,40,50,50,50,60,270,45.84,5867022.86,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(401-500) sizes=c(128)KB
w37-s5-main-8workers-1,read,6764,865792000,8,41.68,34.98,50,60,60,70,100,290,112.79,14437594.36,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w37-s5-main-8workers-2,write,2951,377728000,8,66.92,62.32,70,80,90,100,110,290,49.21,6298805.61,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(501-600) sizes=c(128)KB
w37-s6-main-16workers-1,read,7434,951552000,16,74.54,64.31,80,90,100,110,140,510,124,15871699.74,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w37-s6-main-16workers-2,write,3260,417280000,16,124.18,119.42,130,150,160,170,190,300,54.38,6960063.6,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(601-700) sizes=c(128)KB
w37-s7-main-32workers-1,read,8057,1031296000,32,141.25,131.7,150,210,250,300,410,670,134.56,17223770.48,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w37-s7-main-32workers-2,write,3480,445440000,32,223.44,218.55,230,290,350,410,550,800,58.12,7439602.06,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(701-800) sizes=c(128)KB
w37-s8-main-64workers-1,read,8242,1054976000,64,269.89,260.97,250,430,600,790,1290,2040,138.07,17672637.9,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w37-s8-main-64workers-2,write,3402,435456000,64,468.92,462.94,390,660,990,1360,2330,3610,57,7295704.53,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(801-900) sizes=c(128)KB
w37-s9-main-128workers-1,read,8490,1086720000,128,448.44,439.63,550,840,1030,1170,1440,2350,142.98,18301560.23,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w37-s9-main-128workers-2,write,3534,452352000,128,1073.34,1067.88,1260,1780,2140,2470,3030,4370,59.52,7618471.6,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(901-1000) sizes=c(128)KB
w37-s10-main-256workers-1,read,8398,1074944000,256,850.1,840.94,1120,1700,2030,2300,2760,4200,143.49,18366712.91,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w37-s10-main-256workers-2,write,3455,442240000,256,2273.19,2265.75,2680,3940,4760,5370,6290,7920,58.99,7550234.14,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(1001-1100) sizes=c(128)KB
w37-s11-main-512workers-1,read,7890,1009920000,512,1811.75,1804.13,2260,3250,3900,4390,5490,6920,138.15,17682935.33,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w37-s11-main-512workers-2,write,3158,404224000,512,4728.6,4719.49,5500,7550,9190,10350,12430,15080,55.32,7081116.17,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(1101-1200) sizes=c(128)KB
w37-s12-cleanup-1,cleanup-delete,24000,0,16,67.94,67.94,80,90,100,100,120,180,235.76,0,100%,100% cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) deleteContainer=false cprefix=s3testqwer containers=r(1-20) objects=r(1-1200)
w37-s13-dispose-1,dispose-delete,0,0,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-20)
w38-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-20)
w38-s2-prepare-1,prepare-write,6000,6000000000,16,316.73,210.99,310,370,450,510,810,1940,50.5,50503582.52,100%,100% cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(1)MB cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(1)MB cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(1)MB createContainer=false cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(1)MB
w38-s3-main-1worker-1,read,880,880000000,1,41.35,13.65,50,50,50,60,70,80,14.68,14676450.97,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w38-s3-main-1worker-2,write,367,367000000,1,64.13,31.07,70,70,70,80,80,120,6.12,6120747.16,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(301-400) sizes=c(1)MB
w38-s4-main-4workers-1,read,1879,1879000000,4,83.82,31.12,80,90,110,250,330,830,31.36,31357284.21,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w38-s4-main-4workers-2,write,838,838000000,4,97.95,61.56,100,120,130,140,250,470,13.99,13985803.99,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(401-500) sizes=c(1)MB
w38-s5-main-8workers-1,read,2203,2203000000,8,146.66,58.89,130,170,310,360,530,1140,36.81,36811038.24,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w38-s5-main-8workers-2,write,939,939000000,8,165.64,109.97,170,200,230,320,410,770,15.69,15691833.62,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(501-600) sizes=c(1)MB
