Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,22,1408000,1679,1676.5,0.37,23613.46,100%
read,read,37,2368000,808.59,804.81,0.64,40697.77,100%
write,write,19,1216000,1487.63,1484.84,0.33,20898.86,100%
read,read,31,1984000,674.03,669.26,0.52,33379.32,100%
write,write,16,1024000,2408.69,2406.75,0.27,17228.04,100%
read,read,37,2368000,746.81,743.68,0.62,39859.28,100%
write,write,20,1280000,1588.75,1586.45,0.34,21545.56,100%
read,read,41,2624000,656.37,652.63,0.69,44011.34,100%
write,write,24,1536000,1362.75,1360.21,0.4,25762.73,100%
read,read,50,3200000,650.8,646.92,0.85,54210.64,100%
write,write,15,960000,1765.8,1763.33,0.25,16263.19,100%
read,read,30,1920000,854.63,851.13,0.52,33396.53,100%
write,write,21,1344000,1516.67,1514.1,0.37,23377.57,100%
read,read,42,2688000,782.64,779.17,0.71,45376.28,100%
write,write,15,960000,1757.67,1755.13,0.25,16205.81,100%
read,read,55,3520000,704.91,702,0.92,58750.88,100%
write,write,20,1280000,1057.05,1054.8,0.33,21363.96,100%
read,read,43,2752000,783.42,780.33,0.73,46972.08,100%
write,write,15,960000,1660,1657.47,0.26,16385.61,100%
read,read,41,2624000,699.76,696.83,0.69,43906.77,100%
write,write,20,1280000,1553.6,1550.9,0.33,21417.93,100%
read,read,46,2944000,754.07,750,0.78,49878.86,100%
write,write,19,1216000,1280.68,1278.47,0.32,20602.14,100%
read,read,43,2752000,528.28,524.91,0.73,46542.31,100%
write,write,23,1472000,1583,1580.04,0.39,24894.72,100%
read,read,60,3840000,655.52,650.78,1.01,64490.12,100%
write,write,15,960000,1347.53,1344.8,0.25,16122.53,100%
read,read,47,3008000,684.19,680.89,0.81,51730.96,100%
write,write,24,1536000,1082.54,1080.12,0.41,26415.81,100%
read,read,36,2304000,642.92,639.78,0.6,38545.19,100%
write,write,19,1216000,1927.79,1924.47,0.32,20343.29,100%
read,read,60,3840000,611.5,607.6,1.02,65176.43,100%
write,write,16,1024000,1389.12,1386.62,0.27,17380.38,100%
read,read,45,2880000,523.67,519.89,0.76,48535.51,100%
write,write,24,1536000,1490.46,1488.21,0.4,25885.6,100%
read,read,54,3456000,725.54,722.2,0.91,58011.88,100%
write,write,22,1408000,927,924.45,0.37,23634.47,100%
read,read,33,2112000,633.82,630.64,0.55,35454.68,100%
write,write,20,1280000,1932.45,1928.8,0.34,21487.69,100%
read,read,46,2944000,774.07,769.59,0.78,49766.72,100%
write,write,17,1088000,1385.06,1382.82,0.29,18392.05,100%
read,read,47,3008000,819.32,812.98,0.79,50502.85,100%
write,write,11,704000,1913.73,1911.36,0.18,11819.81,100%
read,read,38,2432000,719.89,716.55,0.66,42002,100%
write,write,20,1280000,1527.3,1525.1,0.35,22106.32,100%
