Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,16150.5,8681,0.06,247670.35,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,25176,7078,0.04,158881.47,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,17956,9896.67,0.06,222766.76,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18234.67,11593,0.05,219362.39,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,13838,5290,0.07,289059.11,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,18447,6005,0.05,216837.43,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,16800,11624,0.06,238095.24,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,1,4000000,58977,30776,0.02,67823.05,100%
read,read,3,12000000,17981.67,9359,0.06,222448.79,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,11476,5015,0.09,348553.5,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,17759.67,11188.67,0.06,225229.45,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,7543,2740,0.13,530292.99,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,17413,10016.67,0.06,229713.43,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,1,4000000,59781,30643,0.02,66910.89,100%
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18271.33,10666.33,0.05,218890.23,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,13628,5007,0.07,293513.35,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,22353.5,12752.5,0.04,178942.89,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,13003,5196,0.08,307621.32,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,16873.33,10015,0.06,237055.77,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,21837,6919,0.05,183175.34,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,17834,8061.5,0.06,224290.68,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,13441,5185,0.07,297596.9,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,23831,9772.5,0.04,167848.6,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,24337,11103.5,0.04,164358.8,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,12258,5102,0.08,326317.51,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,20073,6562,0.05,199272.65,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,16106,5828,0.06,248354.65,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,19143.67,9769.67,0.05,208946.39,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,17823,7962.33,0.06,224429.11,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,19830.5,8422.5,0.05,201709.49,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,16221.33,11441.67,0.06,246588.85,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,10703,4893,0.09,373726.99,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,18777,6332,0.05,213026.58,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,7198,3098,0.14,555709.92,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,22914,11129,0.04,174565.77,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,24588,9349.5,0.04,162680.98,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,16819,5799,0.06,237826.27,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18455.67,8958,0.05,216735.6,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,18543,6047,0.05,215714.83,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,20311,6604,0.05,196937.62,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,21533.5,7562,0.05,185757.08,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,24447,11825,0.04,163619.26,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,9156,4548,0.11,436872,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,20338.5,10506.5,0.05,196671.34,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,19542,6270,0.05,204687.34,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
