================================================== stage: s1-init ==================================================
---------------------------------- mission: MBA6E02D3CC, driver: driver1 ----------------------------------
2017-11-10 17:00:45,471 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects65
2017-11-10 17:00:45,551 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects178
2017-11-10 17:00:45,628 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects159
2017-11-10 17:00:45,716 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects27
2017-11-10 17:00:45,728 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects273
2017-11-10 17:00:45,757 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects102
2017-11-10 17:00:45,847 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects142
2017-11-10 17:00:45,957 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects218
2017-11-10 17:00:45,977 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects236
2017-11-10 17:00:46,013 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects290
2017-11-10 17:00:46,075 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects6
2017-11-10 17:00:46,324 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects122
2017-11-10 17:00:46,348 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects160
2017-11-10 17:00:46,370 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects254
2017-11-10 17:00:46,448 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects28
2017-11-10 17:00:46,474 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects66
2017-11-10 17:00:46,513 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects143
2017-11-10 17:00:46,719 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects46
2017-11-10 17:00:46,734 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects237
2017-11-10 17:00:46,769 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects219
2017-11-10 17:00:46,812 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects274
2017-11-10 17:00:46,929 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects179
